	question	answer
15071	Да, действительно, было землетрясение магнитудой 5.5 балла.	Какие ущербы были причинены?
15072	В прошлом году продажи автомобилей увеличились на 10%.	Это связано с увеличением экономического роста в стране.
15073	Это связано с увеличением экономического роста в стране.	Да, действительно, производственный индекс вырос на 2 пункта.
15074	Я не критикую тебя, я говорю то, что вижу.	Я понимаю, но мне кажется, что ты не видишь всей картины.
15075	Я понимаю, но мне кажется, что ты не видишь всей картины.	Может быть, ты прав. Давай обсудим эту ситуацию вместе.
15076	Москва является столицей России.	Да, это верно.
15077	Да, это верно.	Размер Земли примерно 12 742 км в диаметре.
15078	Привет, я сегодня узнал много интересных фактов!	О, действительно? Расскажи мне о них.
15079	О, действительно? Расскажи мне о них.	Волки могут жить до 13 лет в дикой природе.
15080	Здравствуйте, я хочу заказать пиццу	Здравствуйте! Какая именно пицца вас интересует?
15081	Здравствуйте! Какая именно пицца вас интересует?	Мне бы хотелось заказать пиццу с ананасами и курицей
15082	Какие твои любимые книги?	А я люблю читать фэнтези и научную фантастику. А ты часто читаешь?
15083	А я люблю читать фэнтези и научную фантастику. А ты часто читаешь?	Какая книга стала для тебя самой запоминающейся?
15084	В России 11 часов вечера.	Это довольно поздно. 
15085	Это довольно поздно. 	Да, но я иногда работаю до поздна.
15086	Привет! Как дела?	Привет! У меня все хорошо, а как у тебя?
15087	Привет! У меня все хорошо, а как у тебя?	Тоже нормально. Ты знаешь, что в России насчитывается около 100 тысяч озер?
15088	Привет, бот. Знаешь ли ты что-нибудь про марсиан?	Конечно, могу поделиться. Марсиане представляют собой далеких родственников Землян, но их раса развивалась по-другому, там нет воды и атмосферы такой, как у нас. Для исследования Марса проводятся экспедиции.
15089	Конечно, могу поделиться. Марсиане представляют собой далеких родственников Землян, но их раса развивалась по-другому, там нет воды и атмосферы такой, как у нас. Для исследования Марса проводятся экспедиции.	Интересно. А что происходит со звездами, когда они умирают?
15090	Привет! Как дела?	Привет! У меня все хорошо, а у тебя?
15091	Привет! У меня все хорошо, а у тебя?	Тоже всё хорошо, спасибо. А ты знаешь, что на Луне нет атмосферы?
15092	Я хочу съездить на море на выходные.	Извини, но я уже запланировал что-то на эти выходные.
15093	Извини, но я уже запланировал что-то на эти выходные.	Давай попробуем найти компромисс.
15094	Как ты отдыхаешь после тяжелого дня?	Обычно я принимаю горячую ванну и смотрю любимый сериал. А ты?
15095	Обычно я принимаю горячую ванну и смотрю любимый сериал. А ты?	Я предпочитаю заняться спортом или пойти на прогулку с собакой.
15096	Привет, как дела?	Привет, у меня все хорошо
15097	Привет, у меня все хорошо	А ты знал, что самое большое озеро в мире - Каспийское?
15098	Привет, как дела?	Привет! У меня все хорошо. А у тебя?
15099	Привет! У меня все хорошо. А у тебя?	У меня тоже все хорошо. Кстати, я услышал, что ты недавно поехал в отпуск в Турцию.
15100	Привет, я сегодня узнал интересный факт о Луне	Класс! Расскажи мне пожалуйста, я люблю учиться новому
15101	Класс! Расскажи мне пожалуйста, я люблю учиться новому	Факт заключается в том, что в составе лунной почвы присутствует гелий-3, который является очень ценным веществом для создания реакторов на ядерном топливе.
15102	Недавно я узнал, что существует три версии 'Одиссеи' Гомера	Да, это так. Из них наиболее известными являются 'Илиада' и 'Одиссея'
15103	Да, это так. Из них наиболее известными являются 'Илиада' и 'Одиссея'	А что самое длинное слово в русском языке?
15104	Привет, как дела?	Привет! Все хорошо, спасибо. А у тебя как?
15105	Привет! Все хорошо, спасибо. А у тебя как?	У меня тоже все отлично. Погода сегодня такая же замечательная, как и вчера.
15106	Привет, как дела?	Привет, у меня все хорошо, а у тебя?
15107	Привет, у меня все хорошо, а у тебя?	Спасибо, тоже отлично. Ты знаешь, что сегодня 1 апреля?
15108	Какой лучший путь забраться на эту гору?	Лучший путь зависит от того, на какую гору вы хотите забраться. Какое название горы вас интересует?
15109	Лучший путь зависит от того, на какую гору вы хотите забраться. Какое название горы вас интересует?	Является ли ваша цель достичь вершины или вам нужно лишь прогуляться по склонам горы?
15110	Ты веришь в любовь с первого взгляда?	Конечно, верю. Я влюбилась в моего мужа с первого взгляда.
15111	Конечно, верю. Я влюбилась в моего мужа с первого взгляда.	А мне кажется, что это всего лишь иллюзия, созданная киноиндустрией.
15112	Я не могу понять, почему ты так постоянно откладываешь свои обязанности. Может, стоит научиться планировать свое время?	Да я знаю, что нужно планировать время, но кажется, у меня все время что-то случается и я не могу сделать задачу вовремя.
15113	Да я знаю, что нужно планировать время, но кажется, у меня все время что-то случается и я не могу сделать задачу вовремя.	Думаю, мне нужно попробовать другой подход к планированию. Может быть, тебе есть какие-то советы, как мне лучше организовываться?
15114	Я проживаю в городе Москва.	Москва - столица Российской Федерации.
15115	Москва - столица Российской Федерации.	В России есть много городов, где можно отдохнуть.
15116	Привет, как дела?	Привет! Хорошо, спасибо. А у тебя?
15117	Привет! Хорошо, спасибо. А у тебя?	У меня тоже всё хорошо. Я знаю, что 7 + 7 = 14.
15118	Москва — столица России. Её основали в 1147 году.	Да, это верно. Вы знаете, что Москва является самым крупным городом России?
15119	Да, это верно. Вы знаете, что Москва является самым крупным городом России?	Конечно, знаю. Но мало кто знает, что Санкт-Петербург является вторым по размеру городом России.
15120	У нас нет времени на объяснения. Давай действовать!	А какое действие ты предлагаешь предпринять?
15121	А какое действие ты предлагаешь предпринять?	Можем ли мы хотя бы на минуту остановиться и обсудить план перед тем, как действовать?
15122	У меня есть для тебя хорошая новость, но сначала я должен рассказать тебе историю	История началась несколько месяцев назад, когда я подал заявку на работу в новом месте
15123	История началась несколько месяцев назад, когда я подал заявку на работу в новом месте	И вот сегодня мне позвонили и сказали, что я получил эту работу! Я так рад!
15124	Здравствуйте, я бы хотел заказать пиццу	Какую пиццу вы бы хотели заказать?
15125	Какую пиццу вы бы хотели заказать?	Я бы хотел пиццу с грибами и колбасой
15126	Ты следишь за весельем, но не можешь найти нас время на меня	Я знаю, что это выглядит так, но я действительно стараюсь найти время для нас обоих.
15127	Я знаю, что это выглядит так, но я действительно стараюсь найти время для нас обоих.	Может быть, мы сможем назначить время и пойти куда-нибудь вместе на выходные?
15128	Привет! Как твои дела?	Здравствуйте! Мои дела нормальные, спасибо за интерес.
15129	Здравствуйте! Мои дела нормальные, спасибо за интерес.	Хорошо, а сейчас я расскажу тебе интересный факт. Знаете ли вы, что в Швейцарии есть банк, в котором можно открыть счет более чем на 20 языках?
15130	Добрый день, я хотел бы купить новый телефон	Конечно, какой бренд и модель вы хотели бы приобрести?
15131	Конечно, какой бренд и модель вы хотели бы приобрести?	Я думаю о Samsung Galaxy S20
15132	Привет! Как дела?	Привет! У меня все хорошо, а у тебя?
15133	Привет! У меня все хорошо, а у тебя?	Тоже неплохо, но я только что узнал, что земля круглая.
15134	Как ты думаешь, что происходит после смерти?	Я думаю, что после смерти наша душа уходит куда-то ещё.
15135	Я думаю, что после смерти наша душа уходит куда-то ещё.	А может быть, мы перерождаемся в другого человека или даже животное.
15136	Я не знаю, что делать. Моя жизнь совсем не такая, какой я ее хотела.	Может быть, стоит поискать новые увлечения или интересы? Это может помочь изменить жизненную ситуацию.
15137	Может быть, стоит поискать новые увлечения или интересы? Это может помочь изменить жизненную ситуацию.	Я попробовала многое, но ничего не приносит мне настоящего счастья.
15138	Коньюнктивит у человека не передается собакам	Это действительно так, поскольку заболевание вызвано вирусом, характерным только для людей
15139	Это действительно так, поскольку заболевание вызвано вирусом, характерным только для людей	Медведь может пробежать на скорости до 50 километров в час
15140	Что случилось с тобой?	Нет, я просто упал на шайбу и умер.
15141	Нет, я просто упал на шайбу и умер.	Как такое может быть? Это же невозможно!
15142	Я не знаю, как с этим справиться	сказала мама.
15143	сказала мама.	Может быть, стоит обратиться за помощью?
15144	Можно ли восстановить удаленный файл?	Да, если вы имеете резервную копию.
15145	Да, если вы имеете резервную копию.	А если нет резервной копии?
15146	Как твои дела на работе?	Нормально, но много работы, как обычно. А у тебя?
15147	Нормально, но много работы, как обычно. А у тебя?	У меня все хорошо на работе, спасибо за спрос. Как ты отдыхаешь в свободное время?
15148	Как давно ты занимаешься спортом	Уже много лет. И мне кажется, что каждый день я становлюсь все лучше и лучше.
15149	Уже много лет. И мне кажется, что каждый день я становлюсь все лучше и лучше.	Какую спортивную дисциплину ты предпочитаешь?
15150	Привет! Как дела?	О, правда? Как же я забыл! Надо бы что-нибудь подарить...
15151	О, правда? Как же я забыл! Надо бы что-нибудь подарить...	А может быть тебе нужна помощь?
15152	Куда бы ты хотел отправиться в свой следующий отпуск?	Я мечтаю побывать на Гавайях.
15153	Я мечтаю побывать на Гавайях.	Мне кажется, Япония была бы интересным местом для посещения.
15154	Да, я тоже думаю, что наша связь требует серьезного обсуждения.	Может быть мы можем найти время для этого в ближайшие выходные?
15155	Может быть мы можем найти время для этого в ближайшие выходные?	Конечно, это звучит хорошо.
15156	В нашей галактике есть примерно 100 миллиардов звезд.	Да, это так. Из них населенных может быть порядка 20 миллионов.
15157	Да, это так. Из них населенных может быть порядка 20 миллионов.	Ну что же, как интересно. Неужели на других планетах живут разумные существа?
15158	Привет, как дела?	Привет, у меня все отлично. А у тебя?
15159	Привет, у меня все отлично. А у тебя?	Тоже неплохо. Ты знал, что в Индии находится самый большой розовый алмаз?
15160	Москва - столица России.	Это верно, Москва является столицей Российской Федерации.
15161	Это верно, Москва является столицей Российской Федерации.	Солнце – это звезда.
15162	Привет, как дела?	Привет, у меня всё хорошо, а у тебя?
15163	Привет, у меня всё хорошо, а у тебя?	Тоже неплохо, ты знал, что у пчёл есть пять глаз?
15164	Что делаешь на выходных?	Обычно я провожу время с друзьями или занимаюсь спортом. А ты?
15165	Обычно я провожу время с друзьями или занимаюсь спортом. А ты?	Я предпочитаю оставаться дома и почитать книгу или посмотреть фильм. А иногда гуляю в парке.
15166	Я слышал, что у нас в городе прошли выборы мэра.	Да, это правда. На выборах победил кандидат от партии 'Единая Россия'.
15167	Да, это правда. На выборах победил кандидат от партии 'Единая Россия'.	Интересно, сколько людей приняло участие в выборах?
15168	Здравствуйте, я хотел бы заказать пиццу.	Конечно, какую пиццу вы бы хотели заказать?
15169	Конечно, какую пиццу вы бы хотели заказать?	Мне бы хотелось пиццу с грибами и сыром.
15170	Я сегодня узнал, что самая большая рыба в мире - это акула-кит.	Да, акула-кит действительно является самой большой рыбой в мире. Ее длина может достигать 12 метров.
15171	Да, акула-кит действительно является самой большой рыбой в мире. Ее длина может достигать 12 метров.	А знаете ли вы, что кит-убийца - это не настоящий кит?
15172	Как прошли твои выходные?	Очень круто! Я наконец-то сходила на долгожданный концерт.
15173	Очень круто! Я наконец-то сходила на долгожданный концерт.	А как твои выходные? Ты успел отдохнуть?
15174	Привет, сегодня у нас математика.	Здесь будут задания на умножение и деление.
15175	Здесь будут задания на умножение и деление.	Что такое умножение?
15176	Может быть, сегодня пора наконец сделать то, о чем мы говорили так долго?	Может, но я не уверен, что готов.
15177	Может, но я не уверен, что готов.	Но мы должны попробовать, чтобы не остаться в неведении.
15178	Я слышал, что киты способны петь песни.	Да, это верно. Киты используют свой голос для общения с другими китами.
15179	Да, это верно. Киты используют свой голос для общения с другими китами.	А что они поют?
15180	Какой у тебя план на выходные?	Я планирую поехать на природу со своими друзьями.
15181	Я планирую поехать на природу со своими друзьями.	А у тебя есть какие-то планы на выходные?
15182	Что же ты хотел от меня в такую позднюю ночь?	Извини, я знаю, что поздно, но мне нужна твоя помощь.
15183	Извини, я знаю, что поздно, но мне нужна твоя помощь.	Я потерял ключи от своей квартиры и надеялся, что можешь помочь мне зайти внутрь.
15184	Ты когданибудь пробовал экзотические фрукты? Мне попался дурианэто чтото невероятное!	Я слышал о дуриане, но сам не пробовал. Как он вкусит?
15185	Я слышал о дуриане, но сам не пробовал. Как он вкусит?	Говорят, что запах у него очень не приятный, поэтому я боялся пробовать. Но внутри он очень вкусный.
15186	Москва - столица России.	Да, это верно.
15187	Да, это верно.	Число Пи равно 3.14
15188	Что такое Тау-центр?	Тау-центр - это торгово-развлекательный центр, расположенный в центре города.
15189	Тау-центр - это торгово-развлекательный центр, расположенный в центре города.	Какие магазины есть в Тау-центре?
15190	Привет!	Как дела?
15191	Как дела?	Что нового?
15192	Добрый день, как погода за окном?	Сегодня на улице солнечно и тепло, около +25 градусов.
15193	Сегодня на улице солнечно и тепло, около +25 градусов.	Отлично, а что нового в мире?
15194	Петр Первый изменил счетную систему в России.	Да, он ввел десятичную систему.
15195	Да, он ввел десятичную систему.	Бетховен играл на фортепиано, скрипке и виолончели.
15196	Привет, как дела?	Привет, у меня все хорошо. А у тебя?
15197	Привет, у меня все хорошо. А у тебя?	У меня тоже все отлично. Ты знаешь, что сегодня День рождения Айзека Ньютона?
15198	Да, я довольно хорошо подготовился, но все же немного волнуюсь. Этот экзамен очень важен для моей будущей карьеры.	Не переживай, ты все сдашь на отлично! Ты же настоящий профессионал своего дела.
15199	Не переживай, ты все сдашь на отлично! Ты же настоящий профессионал своего дела.	Согласен с тобой, этот экзамен важен, но помни, что это всего лишь один шаг на пути к успеху.
15200	Какой самый высокий город в мире?	Самым высоким городом в мире считается Ла-Пас, который расположен на высоте около 3650 метров над уровнем моря.
15201	Самым высоким городом в мире считается Ла-Пас, который расположен на высоте около 3650 метров над уровнем моря.	А где расположен самый большой остров в мире?
15202	Как думаешь, кто выиграет в следующем матче?	Надеюсь, что моя команда победит.
15203	Надеюсь, что моя команда победит.	Не знаю, все зависит от формы игроков.
15204	Честно говоря, я не уверен, что это лучшее для нас решение.	Что ты предлагаешь вместо этого?
15205	Что ты предлагаешь вместо этого?	Можешь объяснить, почему ты не считаешь это лучшим решением?
15206	Ты меня разочаровала	Чем я тебя разочаровала?
15207	Чем я тебя разочаровала?	Ты обещала помочь мне с проектом, но я все делала сама.
15208	Как твои дела с работой?	Нормально, не жалуюсь. Но немного устал. А у тебя?
15209	Нормально, не жалуюсь. Но немного устал. А у тебя?	Тоже не плохо, но много работы. Как бы не заболеть.
15210	Привет, как дела?	Привет! У меня все хорошо, спасибо за спрос. А у тебя?
15211	Привет! У меня все хорошо, спасибо за спрос. А у тебя?	У меня тоже все хорошо. Я читал статью о том, что коты могут видеть инфракрасный свет.
15212	Привет!	Как дела?
15213	Как дела?	Ты знал, что это было неправильно, правда?
15214	Я слышал, что сон длится примерно 90 минут. Это правда?	Да, это правда! Этот цикл повторяется 4-5 раз во время ночи.
15215	Да, это правда! Этот цикл повторяется 4-5 раз во время ночи.	А насколько важен глубокий сон?
15216	Когда была основана Москва?	Москва была основана в 1147 году.
15217	Москва была основана в 1147 году.	Какой год был объявлен Годом Литературы в России?
15218	Привет, как дела?	Приветствую! У меня все хорошо, а у тебя?
15219	Приветствую! У меня все хорошо, а у тебя?	У меня тоже неплохо. А ты знаешь, что сегодня День Космонавтики?
15220	Привет, как дела?	Привет! У меня все хорошо, спасибо. А у тебя?
15221	Привет! У меня все хорошо, спасибо. А у тебя?	Тоже все отлично. Ты знал, что самая высокая гора в мире - Эверест?
15222	Привет, как дела?	Привет, у меня все хорошо, а у тебя?
15223	Привет, у меня все хорошо, а у тебя?	У меня тоже все хорошо. Погода сегодня такая хорошая, правда?
15224	Привет, как дела?	Привет! Всё хорошо, а у тебя?
15225	Привет! Всё хорошо, а у тебя?	У меня тоже всё хорошо. Знаешь ли ты, что самая большая планета в Солнечной системе - Юпитер?
15226	Ты бы предпочел жить в городе или на природе?	Я думаю, что на природе, так как там чище воздух и спокойнее обстановка.
15227	Я думаю, что на природе, так как там чище воздух и спокойнее обстановка.	Хотя в городе удобнее, так как есть большой выбор магазинов и развлечений.
15228	Привет, как дела?	Привет, у меня все хорошо. А у тебя как?
15229	Привет, у меня все хорошо. А у тебя как?	У меня тоже нормально. Знаешь, какой интересный факт? В США самый большой штат - Аляска.
15230	Как тебе погода?	Я думаю, что сегодня солнечно и тепло.
15231	Я думаю, что сегодня солнечно и тепло.	Но за окном уже давно не была.
15232	В России более 11 млн. квадратных километров территории.	Да, Россия - самая большая страна в мире по площади.
15233	Да, Россия - самая большая страна в мире по площади.	Украина является крупнейшим производителем подсолнечного масла в мире.
15234	Добрый день, я хочу заказать пиццу.	Здравствуйте! Какую пиццу вы бы хотели заказать?
15235	Здравствуйте! Какую пиццу вы бы хотели заказать?	Я бы хотел заказать пиццу с грибами, помидорами и колбасой.
15236	Привет, как дела?	Привет, у меня все хорошо. А у тебя?
15237	Привет, у меня все хорошо. А у тебя?	У меня тоже все отлично. А ты знаешь, что медведи могут плавать?
15238	Сколько времени занимает приготовление такого блюда?	Ты готовишь этот рецепт часто?
15239	Ты готовишь этот рецепт часто?	Я хотел бы попробовать приготовить его сам.
15240	Первый факт: улитки могут спать до 3 лет.	Интересно, насколько глубоко они засыпают...
15241	Интересно, насколько глубоко они засыпают...	Второй факт: крокодилы могут делиться едой!
15242	Привет, как дела?	Привет! У меня всё хорошо. А у тебя?
15243	Привет! У меня всё хорошо. А у тебя?	У меня тоже всё хорошо. Какие планы на выходные?
15244	Москва является столицей России.	Да, это верно. Знаете ли вы, что Москва также является самым населенным городом России?
15245	Да, это верно. Знаете ли вы, что Москва также является самым населенным городом России?	Да, я знаю. А вы знаете, что самый большой город в мире по населению - Токио?
15246	Почему ты так на меня кричишь? Мне кажется, твои эмоции переходят все границы...	Я не могу справиться со своими чувствами, просто не знаю, как выразить свой гнев...
15247	Я не могу справиться со своими чувствами, просто не знаю, как выразить свой гнев...	Но ты же должен понимать, я уже несколько раз говорил тебе об этой проблеме!
15248	Ты всегда такой зануда!	Я не зануда, я просто люблю соблюдать порядок и дисциплину.
15249	Я не зануда, я просто люблю соблюдать порядок и дисциплину.	Ну да, правда, это не всегда удобно для окружающих. И ты прав, я могу быть занудой.
15250	Здравствуйте. Я здесь, чтобы узнать больше о вашей компании.	Приветствую! Мы занимаемся разработкой программного обеспечения для бизнеса.
15251	Приветствую! Мы занимаемся разработкой программного обеспечения для бизнеса.	Какие услуги вы предоставляете?
15252	Привет, как дела?	Привет, у меня все хорошо, а у тебя?
15253	Привет, у меня все хорошо, а у тебя?	Тоже все отлично, слышал что скоро будет метеоритный дождь
15254	Здравствуйте, я хочу записаться на консультацию к психологу.	Здравствуйте! Какого дня и времени вам удобно прийти?
15255	Здравствуйте! Какого дня и времени вам удобно прийти?	Мне бы подошло в любой рабочий день после 18:00.
15256	Мой любимый цвет - красный	Интересно, а у тебя есть любимый цвет?
15257	Интересно, а у тебя есть любимый цвет?	Да, у меня нет цветовых предпочтений, я же всего лишь бот
15258	Москва столица Российской Федерации	Действительно, Москва является столицей Российской Федерации
15259	Действительно, Москва является столицей Российской Федерации	Когда была основана Москва?
15260	Я не могу позволить себе потерять тебя.	Но я же ничейная собака, кто заботится обо мне?
15261	Но я же ничейная собака, кто заботится обо мне?	Я буду заботиться о тебе всегда, моя верная подруга.
15262	Привет!	Здравствуйте!
15263	Здравствуйте!	Как у вас дела?
15264	Москва - столица Российской Федерации	На территории России находится 11 временных зон
15265	На территории России находится 11 временных зон	В России проживает более 144 миллионов человек
15266	Один кубический сантиметр мозговой ткани содержит миллиард нейронов и гигабайт информации.	Действительно интересный факт, но знаете ли вы, что киты могут жить больше 200 лет?
15267	Действительно интересный факт, но знаете ли вы, что киты могут жить больше 200 лет?	Нет, не знал. А знаете ли вы, что Флорида является единственным штатом США, где растет свободно крокодиловое дерево?
15268	Антарктида является наиболее холодным местом на Земле.	Да, это правда. Средние температуры там составляют около -55 градусов по Цельсию.
15269	Да, это правда. Средние температуры там составляют около -55 градусов по Цельсию.	Насекомые - самый многочисленный класс живых организмов на Земле.
15270	Привет! Как дела?	Привет! Все отлично, спасибо за спрос.
15271	Привет! Все отлично, спасибо за спрос.	А ты знаешь, что за последние 10 лет число пользователя интернета в России выросло в 7 раз?
15272	Как твои планы на выходные?	Я думаю пойти на прогулку в парк, а ты?
15273	Я думаю пойти на прогулку в парк, а ты?	Я хочу немного отдохнуть и посмотреть новый фильм.
15274	На Аляске самый высокий горный пик Северной Америки.	Да, этот пик называется Денали.
15275	Да, этот пик называется Денали.	Москва является столицей России.
15276	Какие фотографии?	Помнишь, я говорил тебе про фотоотчет с моего последнего отпуска?
15277	Помнишь, я говорил тебе про фотоотчет с моего последнего отпуска?	О, да, конечно, я помню. Как тебе удалось сделать такие красивые снимки?
15278	Вы знаете, что Чебурашка придуман нашим соотечественником?	Конечно, я знаю. Имя этого человека Эдуард Успенский.
15279	Конечно, я знаю. Имя этого человека Эдуард Успенский.	А вы знали, что Манхэттен - это самый населенный район Нью-Йорка?
15280	Я уже не знаю, что делать, помоги мне, пожалуйста.	Что случилось?
15281	Что случилось?	У меня проблема на работе.
15282	Привет, как дела?	Привет, у меня все хорошо. А у тебя?
15283	Привет, у меня все хорошо. А у тебя?	У меня тоже все хорошо. Слышал, что сегодня в городе была прекрасная погода?
15284	Здравствуйте, как я могу вам помочь?	Добрый день, я бы хотел заказать пиццу
15285	Добрый день, я бы хотел заказать пиццу	Какой размер и какие добавки вы бы хотели?
15286	Что ты думаешь о последних событиях в мире?	Я думаю, что многие из них очень тревожные.
15287	Я думаю, что многие из них очень тревожные.	Некоторые новости вызывают у меня глубокую озабоченность.
15288	Привет, как дела?	Привет! У меня все хорошо, а у тебя?
15289	Привет! У меня все хорошо, а у тебя?	У меня тоже все отлично. Погода сегодня замечательная, правда?
15290	В каком году было основано Санкт-Петербург?	Санкт-Петербург был основан в 1703 году Петром I.
15291	Санкт-Петербург был основан в 1703 году Петром I.	Какой самый высокий горный хребет в мире?
15292	Привет, как дела?	Привет, у меня все хорошо. А у тебя?
15293	Привет, у меня все хорошо. А у тебя?	У меня тоже все в порядке. Ты знаешь, что сегодня в Италии произошло землетрясение?
15294	Что ты скажешь насчет путешествия в Европу? 	Мне это очень интересно!
15295	Мне это очень интересно!	Но у меня нет денег на такой дорогой отдых.
15296	Моя любимая еда - пицца.	Очень понятно, я тоже обожаю пиццу.
15297	Очень понятно, я тоже обожаю пиццу.	Я живу в Москве.
15298	Самым большим озером в мире является Каспийское	Действительно, Каспийское озеро является самым большим озером на планете
15299	Действительно, Каспийское озеро является самым большим озером на планете	В Азии находится самая высокая гора — Эверест
15300	Я думаю, что это не лучшее время, чтобы начинать новый проект.	А почему ты так думаешь?
15301	А почему ты так думаешь?	Мы пока не полностью справились со старыми проектами, и добавление нового только увеличит задержки.
15302	Почему ты не сказал мне правду?	Я не хотел тебя обидеть
15303	Я не хотел тебя обидеть	Но ты обидел меня еще больше своей ложью
15304	Какой город является столицей России?	Москва.
15305	Москва.	Правильно. В какой реке впадает Волга?
15306	Привет! Как дела?	Не знаю, пока не успел с ним познакомиться. А ты?
15307	Где ты живешь?	Я живу в Москве.
15308	Я живу в Москве.	Какая в Москве погода?
15309	Привет, как дела?	Здравствуйте, у меня все хорошо, спасибо. А у вас?
15310	Здравствуйте, у меня все хорошо, спасибо. А у вас?	У меня тоже все отлично, спасибо. Вы знаете, что сегодня пятница?
15311	Как бы ты описал этот запах?	Я бы описал его как свежий и цитрусовый.
15312	Я бы описал его как свежий и цитрусовый.	Интересно, какая это ароматическая нота вызывает такое ощущение?
15313	Москва - столица России.	Площадь Красной Площади составляет около 70 тысяч квадратных метров.
15314	Площадь Красной Площади составляет около 70 тысяч квадратных метров.	Самая высокая гора в мире - Эверест.
15315	У меня сегодня был длинный рабочий день	Вы знали, что средняя продолжительность жизни в России составляет 72,6 года?
15316	Вы знали, что средняя продолжительность жизни в России составляет 72,6 года?	Да, я слышал об этом. Но в последнее время уровень смертности увеличился в связи с пандемией
